county,precinct,office,district,party,candidate,vote
Box Elder,BC14,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,31
Box Elder,BC14,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC14,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC14,Democratic for U.S. House 1,1,DEM,DARREN PARRY,20
Box Elder,BC14,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,11
Box Elder,BC14,Republican for U.S. House 1,1,REP,KATIE WITT,54
Box Elder,BC14,Republican for U.S. House 1,1,REP,BOB STEVENSON,80
Box Elder,BC14,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,75
Box Elder,BC14,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,58
Box Elder,BC14,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",56
Box Elder,BC14,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",72
Box Elder,BC14,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",88
Box Elder,BC14,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",62
Box Elder,BC14,Republican for Attorney General,,REP,SEAN D. REYES,157
Box Elder,BC14,Republican for Attorney General,,REP,DAVID O. LEAVITT,113
Box Elder,BC14,Republican for Commissioner Seat C,,REP,KRIS UDY,63
Box Elder,BC14,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,37
Box Elder,BC14,Republican for Commissioner Seat C,,REP,STAN SUMMERS,128
Box Elder,BC14,Republican for Commissioner Seat C,,REP,ALDEN FARR,36
Box Elder,BC15,REGISTERED VOTERS TOTAL,,,VOTERS,482
Box Elder,BC15,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,433
Box Elder,BC15,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,49
Box Elder,BC15,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC15,BALLOTS CAST TOTAL,,,BALLOTS CAST,358
Box Elder,BC15,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,322
Box Elder,BC15,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,36
Box Elder,BC15,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC15,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC15,Democratic for U.S. House 1,1,DEM,DARREN PARRY,19
Box Elder,BC15,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,17
Box Elder,BC15,Republican for U.S. House 1,1,REP,KATIE WITT,52
Box Elder,BC15,Republican for U.S. House 1,1,REP,BOB STEVENSON,97
Box Elder,BC15,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,85
Box Elder,BC15,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,77
Box Elder,BC15,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",53
Box Elder,BC15,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",102
Box Elder,BC15,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",95
Box Elder,BC15,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",72
Box Elder,BC15,Republican for Attorney General,,REP,SEAN D. REYES,190
Box Elder,BC15,Republican for Attorney General,,REP,DAVID O. LEAVITT,129
Box Elder,BC15,Republican for Commissioner Seat C,,REP,KRIS UDY,78
Box Elder,BC15,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,65
Box Elder,BC15,Republican for Commissioner Seat C,,REP,STAN SUMMERS,129
Box Elder,BC15,Republican for Commissioner Seat C,,REP,ALDEN FARR,44
Box Elder,BCN,REGISTERED VOTERS TOTAL,,,VOTERS,127
Box Elder,BCN,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,117
Box Elder,BCN,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,10
Box Elder,BCN,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BCN,BALLOTS CAST TOTAL,,,BALLOTS CAST,136
Box Elder,BCN,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,131
Box Elder,BCN,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,5
Box Elder,BCN,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BCN,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BCN,Democratic for U.S. House 1,1,DEM,DARREN PARRY,0
Box Elder,BCN,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,5
Box Elder,BCN,Republican for U.S. House 1,1,REP,KATIE WITT,12
Box Elder,BCN,Republican for U.S. House 1,1,REP,BOB STEVENSON,28
Box Elder,BCN,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,46
Box Elder,BCN,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,42
Box Elder,BCN,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",26
Box Elder,BCN,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",46
Box Elder,BCN,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",34
Box Elder,BCN,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",25
Box Elder,BCN,Republican for Attorney General,,REP,SEAN D. REYES,79
Box Elder,BCN,Republican for Attorney General,,REP,DAVID O. LEAVITT,50
Box Elder,BCN,Republican for Commissioner Seat C,,REP,KRIS UDY,59
Box Elder,BCN,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,19
Box Elder,BCN,Republican for Commissioner Seat C,,REP,STAN SUMMERS,23
Box Elder,BCN,Republican for Commissioner Seat C,,REP,ALDEN FARR,29
Box Elder,BD/C,REGISTERED VOTERS TOTAL,,,VOTERS,215
Box Elder,BD/C,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,215
Box Elder,BD/C,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,0
Box Elder,BD/C,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BD/C,BALLOTS CAST TOTAL,,,BALLOTS CAST,150
Box Elder,BD/C,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,148
Box Elder,BD/C,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,2
Box Elder,BD/C,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BD/C,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BD/C,Democratic for U.S. House 1,1,DEM,DARREN PARRY,2
Box Elder,BD/C,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,0
Box Elder,BD/C,Republican for U.S. House 1,1,REP,KATIE WITT,29
Box Elder,BD/C,Republican for U.S. House 1,1,REP,BOB STEVENSON,25
Box Elder,BD/C,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,30
Box Elder,BD/C,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,56
Box Elder,BD/C,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",24
Box Elder,BD/C,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",55
Box Elder,BD/C,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",33
Box Elder,BD/C,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",36
Box Elder,BD/C,Republican for Attorney General,,REP,SEAN D. REYES,84
Box Elder,BD/C,Republican for Attorney General,,REP,DAVID O. LEAVITT,59
Box Elder,BD/C,Republican for Commissioner Seat C,,REP,KRIS UDY,70
Box Elder,BD/C,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,18
Box Elder,BD/C,Republican for Commissioner Seat C,,REP,STAN SUMMERS,51
Box Elder,BD/C,Republican for Commissioner Seat C,,REP,ALDEN FARR,6
Box Elder,BEAR,REGISTERED VOTERS TOTAL,,,VOTERS,400
Box Elder,BEAR,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,391
Box Elder,BEAR,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,9
Box Elder,BEAR,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BEAR,BALLOTS CAST TOTAL,,,BALLOTS CAST,302
Box Elder,BEAR,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,291
Box Elder,BEAR,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,11
Box Elder,BEAR,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BEAR,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BEAR,Democratic for U.S. House 1,1,DEM,DARREN PARRY,3
Box Elder,BEAR,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,8
Box Elder,BEAR,Republican for U.S. House 1,1,REP,KATIE WITT,47
Box Elder,BEAR,Republican for U.S. House 1,1,REP,BOB STEVENSON,70
Box Elder,BEAR,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,51
Box Elder,BEAR,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,116
Box Elder,BEAR,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",37
Box Elder,BEAR,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",124
Box Elder,BEAR,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",65
Box Elder,BEAR,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",65
Box Elder,BEAR,Republican for Attorney General,,REP,SEAN D. REYES,187
Box Elder,BEAR,Republican for Attorney General,,REP,DAVID O. LEAVITT,103
Box Elder,BEAR,Republican for Commissioner Seat C,,REP,KRIS UDY,107
Box Elder,BEAR,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,25
Box Elder,BEAR,Republican for Commissioner Seat C,,REP,STAN SUMMERS,130
Box Elder,BEAR,Republican for Commissioner Seat C,,REP,ALDEN FARR,28
Box Elder,BRE,REGISTERED VOTERS TOTAL,,,VOTERS,224
Box Elder,BRE,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,211
Box Elder,BRE,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,13
Box Elder,BRE,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BRE,BALLOTS CAST TOTAL,,,BALLOTS CAST,179
Box Elder,BRE,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,169
Box Elder,BRE,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,10
Box Elder,BRE,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BRE,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BRE,Democratic for U.S. House 1,1,DEM,DARREN PARRY,4
Box Elder,BRE,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,6
Box Elder,BRE,Republican for U.S. House 1,1,REP,KATIE WITT,31
Box Elder,BRE,Republican for U.S. House 1,1,REP,BOB STEVENSON,36
Box Elder,BRE,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,41
Box Elder,BRE,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,60
Box Elder,BRE,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",21
Box Elder,BRE,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",71
Box Elder,BRE,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",39
Box Elder,BRE,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",38
Box Elder,BRE,Republican for Attorney General,,REP,SEAN D. REYES,102
Box Elder,BRE,Republican for Attorney General,,REP,DAVID O. LEAVITT,66
Box Elder,BRE,Republican for Commissioner Seat C,,REP,KRIS UDY,88
Box Elder,BRE,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,17
Box Elder,BRE,Republican for Commissioner Seat C,,REP,STAN SUMMERS,53
Box Elder,BRE,Republican for Commissioner Seat C,,REP,ALDEN FARR,10
Box Elder,BC02,REGISTERED VOTERS TOTAL,,,VOTERS,468
Box Elder,BC02,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,440
Box Elder,BC02,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,28
Box Elder,BC02,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC02,BALLOTS CAST TOTAL,,,BALLOTS CAST,301
Box Elder,BC02,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,282
Box Elder,BC02,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,19
Box Elder,BC02,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC02,BALLOTS CAST BLANK,,,BALLOTS CAST,1
Box Elder,BC02,Democratic for U.S. House 1,1,DEM,DARREN PARRY,14
Box Elder,BC02,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,4
Box Elder,BC02,Republican for U.S. House 1,1,REP,KATIE WITT,53
Box Elder,BC02,Republican for U.S. House 1,1,REP,BOB STEVENSON,74
Box Elder,BC02,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,96
Box Elder,BC02,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,47
Box Elder,BC02,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",67
Box Elder,BC02,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",90
Box Elder,BC02,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",70
Box Elder,BC02,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",54
Box Elder,BC02,Republican for Attorney General,,REP,SEAN D. REYES,160
Box Elder,BC02,Republican for Attorney General,,REP,DAVID O. LEAVITT,115
Box Elder,BC02,Republican for Commissioner Seat C,,REP,KRIS UDY,59
Box Elder,BC02,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,51
Box Elder,BC02,Republican for Commissioner Seat C,,REP,STAN SUMMERS,94
Box Elder,BC02,Republican for Commissioner Seat C,,REP,ALDEN FARR,69
Box Elder,CC,REGISTERED VOTERS TOTAL,,,VOTERS,10
Box Elder,CC,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,10
Box Elder,CC,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,0
Box Elder,CC,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,CC,BALLOTS CAST TOTAL,,,BALLOTS CAST,4
Box Elder,CC,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,4
Box Elder,CC,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,0
Box Elder,CC,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,CC,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,CC,Democratic for U.S. House 1,1,DEM,DARREN PARRY,0
Box Elder,CC,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,0
Box Elder,CC,Republican for U.S. House 1,1,REP,KATIE WITT,1
Box Elder,CC,Republican for U.S. House 1,1,REP,BOB STEVENSON,0
Box Elder,CC,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,1
Box Elder,CC,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,2
Box Elder,CC,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",3
Box Elder,CC,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",0
Box Elder,CC,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",1
